X = [[newcastle, southampton], 1, domingo, 17] ;
X = [[leeds_united, wolves], 1, viernes, 17] ;
X = [[brentford, everton], 1, sabado, 22] ;
X = [[man_city, man_united], 1, sabado, 22] ;
X = [[crystal_palace, fulham], 1, sabado, 14] ;
X = [[brighton, west_ham], 1, sabado, 20] ;
X = [[tottenham, bournemouth], 1, viernes, 16] ;
X = [[aston_villa, chelsea], 1, domingo, 22] ;
X = [[liverpool, arsenal], 1, viernes, 16] ;
X = [[nottm_forest, leicester_city], 1, viernes, 17] ;
X = [[newcastle, aston_villa], 2, sabado, 18] ;
X = [[southampton, fulham], 2, viernes, 18] ;
X = [[west_ham, liverpool], 2, sabado, 19] ;
X = [[arsenal, brighton], 2, viernes, 22] ;
X = [[nottm_forest, man_city], 2, viernes, 19] ;
X = [[man_united, crystal_palace], 2, domingo, 20] ;
X = [[leicester_city, everton], 2, viernes, 21] ;
X = [[bournemouth, leeds_united], 2, sabado, 18] ;
X = [[chelsea, brentford], 2, domingo, 16] ;
X = [[wolves, tottenham], 2, viernes, 16] ;
X = [[man_united, brighton], 3, domingo, 19] ;
X = [[bournemouth, west_ham], 3, domingo, 15] ;
X = [[liverpool, fulham], 3, domingo, 14] ;
X = [[arsenal, chelsea], 3, viernes, 21] ;
X = [[wolves, aston_villa], 3, viernes, 22] ;
X = [[newcastle, crystal_palace], 3, domingo, 22] ;
X = [[brentford, tottenham], 3, domingo, 20] ;
X = [[man_city, leicester_city], 3, domingo, 16] ;
X = [[leeds_united, southampton], 3, sabado, 20] ;
X = [[everton, nottm_forest], 3, sabado, 20] ;
X = [[brighton, liverpool], 4, viernes, 16] ;
X = [[aston_villa, man_city], 4, sabado, 20] ;
X = [[west_ham, leeds_united], 4, domingo, 18] ;
X = [[wolves, newcastle], 4, domingo, 18] ;
X = [[chelsea, fulham], 4, viernes, 14] ;
X = [[leicester_city, tottenham], 4, domingo, 20] ;
X = [[man_united, brentford], 4, domingo, 18] ;
X = [[everton, southampton], 4, domingo, 19] ;
X = [[arsenal, crystal_palace], 4, sabado, 16] ;
X = [[nottm_forest, bournemouth], 4, sabado, 18] ;
X = [[brentford, brighton], 5, sabado, 21] ;
X = [[wolves, chelsea], 5, viernes, 14] ;
X = [[southampton, nottm_forest], 5, viernes, 17] ;
X = [[leeds_united, leicester_city], 5, domingo, 20] ;
X = [[everton, tottenham], 5, sabado, 15] ;
X = [[bournemouth, arsenal], 5, sabado, 15] ;
X = [[west_ham, newcastle], 5, viernes, 15] ;
X = [[man_city, crystal_palace], 5, sabado, 22] ;
X = [[fulham, man_united], 5, domingo, 21] ;
X = [[aston_villa, liverpool], 5, sabado, 22] ;
X = [[newcastle, nottm_forest], 6, domingo, 14] ;
X = [[aston_villa, tottenham], 6, domingo, 14] ;
X = [[liverpool, man_united], 6, sabado, 21] ;
